EVENT_START,EVENT_END,PERIOD_START,PERIOD_END,COUNTRY,STOREREGION,STORE,PS_BU,TEAM_NAME,TEAM,SUBTEAM_NAME,SUBTEAM,BRAND,NAT_UPC,ITEM_DESCRIPTION,SIZE,UOM,CURRENCY,UNIT_SALES,DOLLAR_SALES,DOLLARALLOWANCE,PERCENTALLOWANCE,TOTALDOLLARALLOWANCE,TOTALPERCENTALLOWANCE,TOTALALLOWANCE,PRIMEID,BILL_TYPE,EVENT_ID,SCANBACK_DESCRIPTION
2024-11-13 00:00:00,2024-12-03 00:00:00,2024-12-01 00:00:00,2024-12-31 00:00:00,USA,FL,Winter Park North,10580,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081069,"OLIVES KALAMATA GREEK HERB OG",6.7,OZ,USD,1.00,6.99,0.45,0.00,0.45,0.00,-0.45,AMZ_PRIME,PA,906311,AFFINITY 2024 GRO NOV B KOSTERINA 0.45
2024-11-13 00:00:00,2024-12-03 00:00:00,2024-12-01 00:00:00,2024-12-31 00:00:00,USA,MW,Orange Village,10664,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081069,"OLIVES KALAMATA GREEK HERB OG",6.7,OZ,USD,1.00,6.99,0.45,0.00,0.45,0.00,-0.45,AMZ_PRIME,PA,906311,AFFINITY 2024 GRO NOV B KOSTERINA 0.45
2024-11-13 00:00:00,2024-12-03 00:00:00,2024-12-01 00:00:00,2024-12-31 00:00:00,USA,NE,Commack,10683,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081069,"OLIVES KALAMATA GREEK HERB OG",6.7,OZ,USD,3.00,20.97,0.45,0.00,1.35,0.00,-1.35,AMZ_PRIME,PA,906311,AFFINITY 2024 GRO NOV B KOSTERINA 0.45
2024-11-13 00:00:00,2024-12-03 00:00:00,2024-12-01 00:00:00,2024-12-31 00:00:00,USA,NE,Massapequa,10749,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081069,"OLIVES KALAMATA GREEK HERB OG",6.7,OZ,USD,1.00,6.99,0.45,0.00,0.45,0.00,-0.45,AMZ_PRIME,PA,906311,AFFINITY 2024 GRO NOV B KOSTERINA 0.45
2024-11-13 00:00:00,2024-12-03 00:00:00,2024-12-01 00:00:00,2024-12-31 00:00:00,USA,NE,NoMad,10773,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081069,"OLIVES KALAMATA GREEK HERB OG",6.7,OZ,USD,1.00,6.99,0.45,0.00,0.45,0.00,-0.45,AMZ_PRIME,PA,906311,AFFINITY 2024 GRO NOV B KOSTERINA 0.45
2024-11-13 00:00:00,2024-12-03 00:00:00,2024-12-01 00:00:00,2024-12-31 00:00:00,USA,NE,Huntington Station,10787,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081069,"OLIVES KALAMATA GREEK HERB OG",6.7,OZ,USD,1.00,6.99,0.45,0.00,0.45,0.00,-0.45,AMZ_PRIME,PA,906311,AFFINITY 2024 GRO NOV B KOSTERINA 0.45
2024-11-13 00:00:00,2024-12-03 00:00:00,2024-12-01 00:00:00,2024-12-31 00:00:00,USA,FL,Clearwater,10515,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081069,"OLIVES KALAMATA GREEK HERB OG",6.7,OZ,USD,1.00,6.99,0.45,0.00,0.45,0.00,-0.45,AMZ_PRIME,PA,906311,AFFINITY 2024 GRO NOV B KOSTERINA 0.45
2024-11-13 00:00:00,2024-12-03 00:00:00,2024-12-01 00:00:00,2024-12-31 00:00:00,USA,MW,Kildeer,10292,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081069,"OLIVES KALAMATA GREEK HERB OG",6.7,OZ,USD,1.00,6.99,0.45,0.00,0.45,0.00,-0.45,AMZ_PRIME,PA,906311,AFFINITY 2024 GRO NOV B KOSTERINA 0.45
2024-11-13 00:00:00,2024-12-03 00:00:00,2024-12-01 00:00:00,2024-12-31 00:00:00,USA,NE,Upper West Side,10328,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081069,"OLIVES KALAMATA GREEK HERB OG",6.7,OZ,USD,1.00,6.99,0.45,0.00,0.45,0.00,-0.45,AMZ_PRIME,PA,906311,AFFINITY 2024 GRO NOV B KOSTERINA 0.45
2024-11-13 00:00:00,2024-12-03 00:00:00,2024-12-01 00:00:00,2024-12-31 00:00:00,USA,FL,Wellington,10195,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081069,"OLIVES KALAMATA GREEK HERB OG",6.7,OZ,USD,1.00,6.99,0.45,0.00,0.45,0.00,-0.45,AMZ_PRIME,PA,906311,AFFINITY 2024 GRO NOV B KOSTERINA 0.45
